Iteration,Rolling Sizes CDunit,Rolling Sizes FB554,Rolling Sizes AlCon,Shift Hours AlCon,Shift Hours FB554,R-squared,Adj R-Squared,F-statistic,Prob (F-statistic)
2687,8,10,6,-8,6,0.794613667,0.794363088,3171.10575,0
2688,8,10,6,-8,8,0.794613667,0.794363088,3171.10575,0
2769,8,10,18,-2,2,0.794612787,0.794362207,3171.088659,0
2770,8,10,18,-2,4,0.794612787,0.794362207,3171.088659,0
2771,8,10,18,-2,6,0.794612787,0.794362207,3171.088659,0
2772,8,10,18,-2,8,0.794612787,0.794362207,3171.088659,0
2773,8,10,18,-4,2,0.794612787,0.794362207,3171.088659,0
2774,8,10,18,-4,4,0.794612787,0.794362207,3171.088659,0
2775,8,10,18,-4,6,0.794612787,0.794362207,3171.088659,0
2776,8,10,18,-4,8,0.794612787,0.794362207,3171.088659,0
2777,8,10,18,-6,2,0.794612787,0.794362207,3171.088659,0
2778,8,10,18,-6,4,0.794612787,0.794362207,3171.088659,0
2779,8,10,18,-6,6,0.794612787,0.794362207,3171.088659,0
2780,8,10,18,-6,8,0.794612787,0.794362207,3171.088659,0
2781,8,10,18,-8,2,0.794612787,0.794362207,3171.088659,0
2782,8,10,18,-8,4,0.794612787,0.794362207,3171.088659,0
2783,8,10,18,-8,6,0.794612787,0.794362207,3171.088659,0
2784,8,10,18,-8,8,0.794612787,0.794362207,3171.088659,0
2657,8,10,4,-2,2,0.794612499,0.794361918,3171.083051,0
2658,8,10,4,-2,4,0.794612499,0.794361918,3171.083051,0
2659,8,10,4,-2,6,0.794612499,0.794361918,3171.083051,0
2660,8,10,4,-2,8,0.794612499,0.794361918,3171.083051,0
2661,8,10,4,-4,2,0.794612499,0.794361918,3171.083051,0
2662,8,10,4,-4,4,0.794612499,0.794361918,3171.083051,0
2663,8,10,4,-4,6,0.794612499,0.794361918,3171.083051,0
2664,8,10,4,-4,8,0.794612499,0.794361918,3171.083051,0
2665,8,10,4,-6,2,0.794612499,0.794361918,3171.083051,0
2666,8,10,4,-6,4,0.794612499,0.794361918,3171.083051,0
2667,8,10,4,-6,6,0.794612499,0.794361918,3171.083051,0
2668,8,10,4,-6,8,0.794612499,0.794361918,3171.083051,0
2669,8,10,4,-8,2,0.794612499,0.794361918,3171.083051,0
2670,8,10,4,-8,4,0.794612499,0.794361918,3171.083051,0
2671,8,10,4,-8,6,0.794612499,0.794361918,3171.083051,0
2672,8,10,4,-8,8,0.794612499,0.794361918,3171.083051,0
2785,8,10,20,-2,2,0.794611746,0.794361165,3171.068429,0
2786,8,10,20,-2,4,0.794611746,0.794361165,3171.068429,0
2787,8,10,20,-2,6,0.794611746,0.794361165,3171.068429,0
2788,8,10,20,-2,8,0.794611746,0.794361165,3171.068429,0
2789,8,10,20,-4,2,0.794611746,0.794361165,3171.068429,0
2790,8,10,20,-4,4,0.794611746,0.794361165,3171.068429,0
2791,8,10,20,-4,6,0.794611746,0.794361165,3171.068429,0
2792,8,10,20,-4,8,0.794611746,0.794361165,3171.068429,0
2793,8,10,20,-6,2,0.794611746,0.794361165,3171.068429,0
2794,8,10,20,-6,4,0.794611746,0.794361165,3171.068429,0
2795,8,10,20,-6,6,0.794611746,0.794361165,3171.068429,0
2796,8,10,20,-6,8,0.794611746,0.794361165,3171.068429,0
2797,8,10,20,-8,2,0.794611746,0.794361165,3171.068429,0
2798,8,10,20,-8,4,0.794611746,0.794361165,3171.068429,0
2799,8,10,20,-8,6,0.794611746,0.794361165,3171.068429,0
2800,8,10,20,-8,8,0.794611746,0.794361165,3171.068429,0
2865,8,10,30,-2,2,0.794611558,0.794360976,3171.064775,0
2866,8,10,30,-2,4,0.794611558,0.794360976,3171.064775,0
2867,8,10,30,-2,6,0.794611558,0.794360976,3171.064775,0
2868,8,10,30,-2,8,0.794611558,0.794360976,3171.064775,0
2869,8,10,30,-4,2,0.794611558,0.794360976,3171.064775,0
2870,8,10,30,-4,4,0.794611558,0.794360976,3171.064775,0
2871,8,10,30,-4,6,0.794611558,0.794360976,3171.064775,0
2872,8,10,30,-4,8,0.794611558,0.794360976,3171.064775,0
2873,8,10,30,-6,2,0.794611558,0.794360976,3171.064775,0
2874,8,10,30,-6,4,0.794611558,0.794360976,3171.064775,0
2875,8,10,30,-6,6,0.794611558,0.794360976,3171.064775,0
2876,8,10,30,-6,8,0.794611558,0.794360976,3171.064775,0
2877,8,10,30,-8,2,0.794611558,0.794360976,3171.064775,0
