Date,425 SAO Al
2016-04-02 05:00:00,5.688
2016-04-03 05:00:00,5.94
2016-04-04 05:00:00,5.915
2016-04-05 05:00:00,6.0
2016-04-06 05:00:00,5.714
2016-04-07 05:00:00,5.923
2016-04-08 05:00:00,6.071
2016-04-09 05:00:00,6.077
2016-04-10 05:00:00,6.103
2016-04-11 05:00:00,6.088
2016-04-12 05:00:00,6.021
2016-04-13 05:00:00,6.063
2016-04-14 05:00:00,5.957
2016-04-15 05:00:00,5.878
2016-04-16 05:00:00,5.881
2016-04-17 05:00:00,5.878
2016-04-19 05:00:00,6.04
2016-04-20 05:00:00,6.036
2016-04-21 05:00:00,6.043
2016-04-22 05:00:00,6.009
2016-04-23 05:00:00,6.061
2016-04-25 05:00:00,6.016
2016-04-26 05:00:00,5.993
